transition     d   Ea(eV)  prefac(meV)
OI-OI       3.16   0.6744  74.0171  
OI-OI       3.09   0.4080  112.5503 
OI-OII      2.88   0.4039  76.7208  
OI-OII      2.98   0.6827  90.9154  
OI-OIII     2.65   0.6926  74.2773  
OI-OIII     2.88   0.6769  76.6483  
OI-OIII     3.24   0.7199  98.9113  
OII-OI      2.88   0.3747  122.6826 
OII-OI      2.98   0.6411  72.9416  
OII-OII     3.04   0.4671  106.2903 
OII-OII     3.09   0.4160  108.5329 
OII-OII     2.84   0.3264  59.0134  
OII-OIII    2.94   0.7035  90.1429  
OII-OIII    2.99   0.6369  95.9972  
OIII-OI     2.65   0.2142  73.0891  
OIII-OI     2.88   0.3193  47.9553  
OIII-OI     3.24   0.2462  105.8500 
OIII-OII    2.94   0.2507  75.5933  
OIII-OII    2.99   0.2570  41.1302  
OIII-OIII   2.69   0.4971  76.9385  
OIII-OIII   3.09   0.5106  75.9913  
